"university","long","lat"
"http://dbpedia.org/resource/Al_Ain_University_of_Science_and_Technology",55.679,24.2388
"http://dbpedia.org/resource/Al_Akhawayn_University",-5.10555,33.5392
"http://dbpedia.org/resource/Al_Asmarya_University_for_Islamic_Sciences",14.5672,32.4681
"http://dbpedia.org/resource/Al_Baha_University",41.4833,19.9944
"http://dbpedia.org/resource/Al_Kabir_Polytechnic",86.196,22.8346
"http://dbpedia.org/resource/Al_Mansour_University_College",44.4283,33.315
"http://dbpedia.org/resource/Al_Rasheed_University_College",44.3094,33.2847
"http://dbpedia.org/resource/Al_Turath_University_College",44.3606,33.3181
"http://dbpedia.org/resource/Al_Yarmouk_University_College",44.4444,33.3
"http://dbpedia.org/resource/Al_al-Bayt_University",36.219,32.361
"http://dbpedia.org/resource/Alabama_Agricultural_and_Mechanical_University",-86.5699,34.7846
"http://dbpedia.org/resource/Alabama_College_of_Osteopathic_Medicine",-85.3616,31.2149
"http://dbpedia.org/resource/Alabama_Southern_Community_College",-87.3264,31.4888
"http://dbpedia.org/resource/Alabama_State_University",-86.295,32.364
"http://dbpedia.org/resource/Alabel_National_Science_High_School",125.275,6.0998
"http://dbpedia.org/resource/Alagappa_College_of_Technology",80.2388,13.0079
"http://dbpedia.org/resource/Alagappa_Polytechnic",78.7948,10.092
"http://dbpedia.org/resource/Alagappa_University",78.7947,10.0786
"http://dbpedia.org/resource/Alamein_University",28.9269,30.8408
"http://dbpedia.org/resource/Alanus_University_of_Arts_and_Social_Sciences",6.99944,50.7325
"http://dbpedia.org/resource/Alaska_Bible_College",-145.53,62.1147
"http://dbpedia.org/resource/Albany_College_of_Pharmacy_and_Health_Sciences",-73.7763,42.6532
"http://dbpedia.org/resource/Albany_Technical_College",-84.1745,31.5535
"http://dbpedia.org/resource/Albert_Einstein_College_of_Medicine",-73.8449,40.8509
"http://dbpedia.org/resource/Alberta_Bible_College",-114.089,51.0856
"http://dbpedia.org/resource/Alberta_College_of_Art_and_Design",-114.091,51.062
"http://dbpedia.org/resource/Albertian_Institute_of_Management",76.2782,9.985
"http://dbpedia.org/resource/Alberto_Hurtado_University",-70.662,-33.4448
"http://dbpedia.org/resource/Albertus_Magnus_College",-72.9239,41.3324
"http://dbpedia.org/resource/Albion_College",-84.7434,42.2445
"http://dbpedia.org/resource/Albright_College",-75.912,40.36
"http://dbpedia.org/resource/Aldersgate_College",121.183,16.5143
"http://dbpedia.org/resource/Alderson_Broaddus_University",-80.0492,39.1583
"http://dbpedia.org/resource/Aleksandër_Moisiu_University",19.4342,41.3135
"http://dbpedia.org/resource/Aleksandër_Xhuvani_University",20.0667,41.1
"http://dbpedia.org/resource/Alexander_Blewett_III_School_of_Law_at_the_University_of_Montana",-113.986,46.8636
"http://dbpedia.org/resource/Alexander_Technological_Educational_Institute_of_Thessaloniki",22.8041,40.6572
"http://dbpedia.org/resource/Alexandria_Technical_and_Community_College",-95.3719,45.8731
"http://dbpedia.org/resource/Alfaisal_University",46.6763,24.664
"http://dbpedia.org/resource/Alfalah_Institute_of_Banking_and_Finance",71.5055,30.2719
"http://dbpedia.org/resource/Alfred_Lerner_College_of_Business_and_Economics,_The_University_of_Delaware",-75.7562,39.6801
"http://dbpedia.org/resource/Alfred_Nobel_University,_Dnipropetrovs'k,_Ukraine",35.0427,48.472
"http://dbpedia.org/resource/Algoma_University",-84.2989,46.5036
"http://dbpedia.org/resource/Algonquin_College",-75.7594,45.3469
"http://dbpedia.org/resource/Ali_Institute_of_Education",74.3386,31.4863
"http://dbpedia.org/resource/Aligarh_College_of_Engineering_and_Technology",78.0522,27.8454
"http://dbpedia.org/resource/Aligarh_Muslim_University",78.0788,27.915
"http://dbpedia.org/resource/Alipurduar_College",89.5372,26.502
"http://dbpedia.org/resource/All_Hallows_College",-6.24942,53.3709
"http://dbpedia.org/resource/All_India_Institute_of_Medical_Sciences_Bhopal",77.25,23.15
"http://dbpedia.org/resource/All_India_Institute_of_Medical_Sciences_Bhubaneswar",85.84,20.27
"http://dbpedia.org/resource/All_India_Institute_of_Medical_Sciences_Delhi",77.21,28.565
"http://dbpedia.org/resource/All_India_Institute_of_Medical_Sciences_Jodhpur",73.02,26.28
"http://dbpedia.org/resource/All_India_Institute_of_Medical_Sciences_Patna",85.13,25.615
"http://dbpedia.org/resource/All_India_Institute_of_Medical_Sciences_Raipur",81.38,21.14
"http://dbpedia.org/resource/All_India_Institute_of_Medical_Sciences_Rishikesh",78.299,30.107
"http://dbpedia.org/resource/All_Nations_University",-0.263333,6.09056
"http://dbpedia.org/resource/All_Saints_University",32.8997,2.24611
"http://dbpedia.org/resource/Allama_Iqbal_Medical_College",74.2964,31.4836
"http://dbpedia.org/resource/Allan_Hancock_College",-120.419,34.9416
"http://dbpedia.org/resource/Allegany_College_of_Maryland",-78.7292,39.6528
"http://dbpedia.org/resource/Allegheny_College",-80.145,41.6498
"http://dbpedia.org/resource/Allen_East_Local_School_District",-83.9203,40.7083
"http://dbpedia.org/resource/Allen_International_Junior_College",141.769,40.1861
